中文名,外文名,别名,国家/地区,类型,主持人,制作公司,首播时间,播出频道,播出时间,导演,播出状态,在线播放平台,届数
1993年中央电视台春节联欢晚会,1993 CCTV Spring Festival Gala,1993年央视鸡年春晚,中国大陆,综艺晚会,"['梁雁翎', '李庆安', '张永权', '赵忠祥', '倪萍', '杨澜']",['中国国际电视总公司'],1993年1月22日晚20:00,['中央电视台'],nan,['张子扬'],已播出,"['央视网', '爱奇艺']",nan
1994年中央电视台春节联欢晚会,1994 CCTV Spring Festival Gala,1994年央视狗年春晚,中国大陆,综艺性文艺晚会,"['程前', '倪萍']",['中国国际电视总公司'],1994年2月9日晚20:00,['中央电视台'],nan,['郎昆'],已播出,央视网、爱奇艺,nan
1995年中央电视台春节联欢晚会,1995 CCTV Spring Festival Gala,1995年央视猪年春晚,中国大陆,综艺性文艺晚会,"['赵忠祥', '倪萍', '许戈辉']",['中国国际电视总公司'],1995年1月30日晚20:00,['中央电视台'],nan,['赵安'],已播出,央视网、爱奇艺,nan
1996年中央电视台春节联欢晚会,1996 CCTV Spring Festival Gala,1996年央视鼠年春晚,中国大陆,综艺性文艺晚会,"['赵忠祥', '倪萍', '程前', '袁鸣', '周涛', '张晓']",['中国国际电视总公司'],1996年2月18日晚20:00,中央电视台,nan,['张晓海'],已播出,央视网、爱奇艺,nan
1997年春节联欢晚会,1997 CCTV Spring Festival Gala,1997年央视牛年春晚,中国,综艺性文艺晚会,"['赵忠祥', '倪萍', '程前', '亚宁', '朱军', '周涛']",nan,nan,['中央电视台综合频道'],1997年2月6日,['袁德旺'],nan,央视网、爱奇艺,nan
1998年中央电视台春节联欢晚会,1998 CCTV Spring Festival Gala,1998年央视虎年春晚,中国大陆,综艺性文艺晚会,"['赵忠祥', '倪萍', '亚宁', '朱军', '周涛', '王雪纯', '刘纯燕', '何炅', '曾媛']",nan,1998年1月27日,['中央电视台综合频道'],nan,['孟欣'],已播出,央视网、爱奇艺,nan
1999年中央电视台春节联欢晚会,1999 CCTV Spring Festival Gala,1999年央视兔年春晚,['中国大陆'],综艺性文艺晚会,"['赵忠祥', '倪萍', '周涛', '朱军']",nan,1999年2月15日晚20:00,['中央电视台综合频道'],nan,黄海涛、陈雨露,nan,央视网、爱奇艺,nan
2000年中央电视台春节联欢晚会,2000 CCTV Spring Festival Gala,2000央视龙年春晚,中国大陆,综艺性文艺晚会,"['赵忠祥', '倪萍']",['中国国际电视总公司'],2000年2月4日晚20:00,['中央电视台'],nan,赵安、黄海涛,已完结,['央视影音'],nan
2001年中央电视台春节联欢晚会,2001 CCTV Spring Festival Gala,2001年央视蛇年春晚,中国大陆,综艺性文艺晚会,"['周涛', '朱军', '曹颖', '张政']",['中央电视台'],2001年1月23日晚20:00,"['中央电视台综合频道', '中央电视台中文国际频道']",nan,['王冼平'],已完结,"['爱奇艺', '优酷']",nan
2002年中央电视台春节联欢晚会,2002 CCTV Spring Festival Gala,2002年央视马年春晚,中国大陆,综艺性文艺晚会,"['倪萍', '朱军', '周涛', '王小丫', '文清', '李咏']",['中国中央电视台'],2002年2月11日晚20:00,"['CCTV-1', 'CCTV-4']",nan,陈雨露,已完结,爱奇艺,nan
2003年中央电视台春节联欢晚会,2003 CCTV Spring Festival Gala,2003年央视羊年春晚,中国大陆,综艺性文艺晚会,"['倪萍', '朱军', '李咏', '周涛', '文清', '张政']",['中国中央电视台'],2003年1月31日晚20:00,中央电视台等,nan,['金越'],已完结,爱奇艺,第21届
2004年中央电视台春节联欢晚会,2004 CCTV Spring Festival Gala,2004年央视猴年春晚,中国大陆,大型综艺晚会,"['倪萍', '朱军', '周涛', '李咏', '赵保乐', '文清']",中国国际电视总公司,2004年1月21日晚20:00,中央电视台及各地方台,nan,['袁德旺'],已完结,['央视影音、优酷'],第22届
